INFO 2025-03-19 15:39:40,742 basehttp 12088 17664 "OPTIONS /api/v1/parking/parking-lots/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,746 basehttp 12088 13760 "OPTIONS /api/v1/vehicles/vehicles/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,746 basehttp 12088 11924 "OPTIONS /api/v1/parking/reservations/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,746 basehttp 12088 18760 "OPTIONS /api/v1/users/users/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,751 basehttp 12088 11924 "OPTIONS /api/v1/parking/reservations/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,751 basehttp 12088 18760 "OPTIONS /api/v1/parking/parking-lots/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,752 basehttp 12088 13760 "OPTIONS /api/v1/vehicles/vehicles/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,752 basehttp 12088 17664 "OPTIONS /api/v1/users/users/ HTTP/1.1" 200 0
INFO 2025-03-19 15:39:40,814 basehttp 12088 5064 "GET /api/v1/parking/parking-lots/ HTTP/1.1" 200 52
WARNING 2025-03-19 15:39:40,819 log 12088 20008 Forbidden: /api/v1/users/users/
WARNING 2025-03-19 15:39:40,822 basehttp 12088 20008 "GET /api/v1/users/users/ HTTP/1.1" 403 63
ERROR 2025-03-19 15:39:40,873 log 12088 18760 Internal Server Error: /api/v1/parking/reservations/
Traceback (most recent call last):
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\viewsets.py", line 124, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
